dteday,cnt_orders,cnt_products,casual,registered,cnt_sales
2011-01-01,16,985,331,654,985
2011-01-01,40,985,331,654,985
2011-01-01,32,985,331,654,985
2011-01-01,13,985,331,654,985
2011-01-01,1,985,331,654,985
2011-01-01,1,985,331,654,985
2011-01-01,2,985,331,654,985
2011-01-01,3,985,331,654,985
2011-01-01,8,985,331,654,985
2011-01-01,14,985,331,654,985
2011-01-01,36,985,331,654,985
2011-01-01,56,985,331,654,985
2011-01-01,84,985,331,654,985
2011-01-01,94,985,331,654,985
2011-01-01,106,985,331,654,985
2011-01-01,110,985,331,654,985
2011-01-01,93,985,331,654,985
2011-01-01,67,985,331,654,985
2011-01-01,35,985,331,654,985
2011-01-01,37,985,331,654,985
2011-01-01,36,985,331,654,985
2011-01-01,34,985,331,654,985
2011-01-01,28,985,331,654,985
2011-01-01,39,985,331,654,985
2011-01-02,17,801,131,670,801
2011-01-02,17,801,131,670,801
2011-01-02,9,801,131,670,801
2011-01-02,6,801,131,670,801
2011-01-02,3,801,131,670,801
2011-01-02,2,801,131,670,801
2011-01-02,1,801,131,670,801
2011-01-02,8,801,131,670,801
2011-01-02,20,801,131,670,801
2011-01-02,53,801,131,670,801
2011-01-02,70,801,131,670,801
2011-01-02,93,801,131,670,801
2011-01-02,75,801,131,670,801
2011-01-02,59,801,131,670,801
2011-01-02,74,801,131,670,801
2011-01-02,76,801,131,670,801
2011-01-02,65,801,131,670,801
2011-01-02,53,801,131,670,801
2011-01-02,30,801,131,670,801
2011-01-02,22,801,131,670,801
2011-01-02,31,801,131,670,801
2011-01-02,9,801,131,670,801
2011-01-02,8,801,131,670,801
2011-01-03,5,1349,120,1229,1349
2011-01-03,2,1349,120,1229,1349
2011-01-03,1,1349,120,1229,1349
2011-01-03,3,1349,120,1229,1349
2011-01-03,30,1349,120,1229,1349
2011-01-03,64,1349,120,1229,1349
2011-01-03,154,1349,120,1229,1349
2011-01-03,88,1349,120,1229,1349
2011-01-03,44,1349,120,1229,1349
2011-01-03,51,1349,120,1229,1349
2011-01-03,61,1349,120,1229,1349
2011-01-03,61,1349,120,1229,1349
2011-01-03,77,1349,120,1229,1349
2011-01-03,72,1349,120,1229,1349
2011-01-03,76,1349,120,1229,1349
